ID_Intervention,Date,ID_Machine,Type_Panne,Duree_Arret_h,Technicien,Pieces_Changees
INT-00500,2024-03-25,CVY-004,Défaut Lubrification,18.50,RODRIGUEZ,"Courroie HTD 800-8M, Joint torique NBR 40x3"
INT-00501,2024-04-23,CMP-002,Défaut Lubrification,47.00,Sophie Bernard,"Courroie HTD 800-8M, Relais temporisé"
INT-00502,2024-11-30,PMP-006,Usure Normale,9.75,Martin Dupont,"Joint torique NBR 40x3, Contacteur LC1D09"
INT-00503,2024-11-17,CVY-010,Usure Normale,44.50,Nicolas Michel,"Relais temporisé, Filtre hydraulique HF35, Courroie HTD 800-8M"
INT-00504,2024-12-18,PMP-009,Usure Normale,21.75,N.Michel,
INT-00505,2024-03-20,CVY-001,Défaut Capteur,35.00,Sophie Bernard,"Joint torique NBR 40x3, Huile ISO VG 68"
INT-00506,2024-01-06,CNC-009,Défaut Lubrification,48.75,Julie Moreau,Courroie HTD 800-8M
INT-00507,2024-07-19,CVY-004,Usure Normale,34.50,Alexandre Petit,Fusible 10A
INT-00508,2024-01-01,CVY-005,Panne Hydraulique,34.00,Julie Moreau,
INT-00509,2024-02-09,CMP-005,Usure Normale,3.75,Martin Dupont,Vérin pneumatique ISO 6432
INT-00510,2024-09-29,PMP-009,Surchauffe,13.75,Marie Simon,"Variateur ATV320, Relais temporisé"
INT-00511,2024-07-15,CMP-002,Fuite,39.00,julie moreau,"Graisse lithium NLGI 2, Relais temporisé, Disjoncteur C16"
INT-00512,2024-07-24,MOT-009,Panne Pneumatique,43.50,Céline Lefebvre,Contacteur LC1D09
INT-00513,2024-12-11,CNC-009,Usure Normale,46.75,Alexandre Petit,"Joint torique NBR 40x3, Contacteur LC1D09"
INT-00514,2024-12-05,CVY-008,Défaut Capteur,38.00,I. Garcia,Câble 3G2.5
INT-00515,2024-06-08,CNC-004,Panne Hydraulique,27.00,Julie Moreau,Vérin pneumatique ISO 6432
INT-00516,2024-08-25,CVY-007,Vibrations Anormales,34h15,Martin Dupont,"Disjoncteur C16, Filtre hydraulique HF35"
INT-00517,2024-09-09,CVY-007,Défaut Capteur,44.50,RODRIGUEZ,Disjoncteur C16
INT-00518,2024-09-24,PMP-010,Vibrations Anormales,11.00,Isabelle Garcia,"Courroie HTD 800-8M, Fusible 10A"
INT-00519,2024-03-01,MOT-003,Défaut Capteur,46.50,Pierre Rodriguez,Variateur ATV320
INT-00520,2024-01-22,CVY-001,Vibrations Anormales,24.25,Sophie Bernard,Huile ISO VG 68
INT-00521,2024-01-14,PMP-002,Vibrations Anormales,6.25,Céline Lefebvre,
INT-00522,2024-08-28,MOT-009,Défaut Capteur,38.00,Sophie Bernard,Disjoncteur C16
INT-00523,2024-02-07,CVY-003,Fuite,14.00,Martin Dupont,Fusible 10A
INT-00524,2024-05-06,CMP-003,panne pneumatique,27.00,Céline Lefebvre,"Graisse lithium NLGI 2, Disjoncteur C16, Electrovanne 5/2"
INT-00525,2024-07-25,CVY-009,Usure Normale,25.50,Thomas Laurent,"Joint torique NBR 40x3, Filtre hydraulique HF35, Variateur ATV320"
INT-00526,22/12/2024,CNC-007,Panne Hydraulique,27.00,Isabelle Garcia,"Relais temporisé, Contacteur LC1D09"
INT-00527,2024-06-14,MOT-008,Fuite,42:30,Thomas Laurent,Relais temporisé
INT-00528,2024-01-30,CNC-010,Usure normale,42.00,Céline Lefebvre,
INT-00529,2024-03-10,PMP-007,,45.00,Pierre Rodriguez,Relais temporisé
INT-00530,2024-03-26,CNC-008,Surchauffe,4.75,Thomas Laurent,"Vérin pneumatique ISO 6432, Roulement SKF 6205"
INT-00531,2024-06-08,CVY-003,,19.25,Pierre Rodriguez,Electrovanne 5/2
INT-00532,2024-09-30,MOT-004,Vibrations Anormales,43h30,Julie Moreau,"Relais temporisé, Graisse lithium NLGI 2, Roulement SKF 6205"
INT-00533,2024-05-10,CNC-003,Panne Hydraulique,40.00,Isabelle Garcia,"Electrovanne 5/2, Joint torique NBR 40x3"
INT-00534,2024-11-19,CNC-001,Fuite,47.00,Pierre Rodriguez,"Relais temporisé, Capteur inductif M12"
INT-00535,2024-03-16,CNC-007,Vibrations Anormales,26.00,Nicolas Michel,"Graisse lithium NLGI 2, Electrovanne 5/2, Disjoncteur C16"
INT-00536,2024-05-09,MOT-005,Panne Electrique,40.25,I. Garcia,"Roulement SKF 6205, Electrovanne 5/2"
INT-00537,2024-01-17,MOT-002,Panne Mecanique,11.25,Sophie Bernard,Câble 3G2.5
INT-00538,2024-07-08,CMP-004,Panne Hydraulique,10.50,Isabelle Garcia,Relais temporisé; Graisse lithium NLGI 2
INT-00539,2024-01-18,CMP-002,Panne Pneumatique,7.00,T.Laurent,"Electrovanne 5/2, Courroie HTD 800-8M"
INT-00540,27.03.2024,CNC-008,Panne Hydraulique,35.00,Alexandre Petit,"Disjoncteur C16, Vérin pneumatique ISO 6432, Joint torique NBR 40x3"
INT-00541,2024-12-15,CMP-004,Panne Électrique,7.0,Marie SIMON,"Graisse lithium NLGI 2, Huile ISO VG 68, Filtre hydraulique HF35"
INT-00542,2024-02-12,PMP-008,panne pneumatique,39.25,Alexandre Petit,"Huile ISO VG 68, Electrovanne 5/2"
INT-00543,2024-09-24,PMP-001,Panne Electrique,15.25,Nicolas Michel,"Graisse lithium NLGI 2, Variateur ATV320"
INT-00544,2024-08-23,CVY-002,Usure normale,27.25,Alexandre Petit,Roulement SKF 6205
INT-00545,2024-09-16,PMP-010,Vibrations Anormales,37.25,Martin Dupont,Disjoncteur C16
INT-00546,2024-09-21,CVY-005,Surchauffe,48.25,Pierre Rodriguez,"Relais temporisé, Variateur ATV320, Filtre hydraulique HF35"
INT-00547,2024-06-27,MOT-004,Usure Normale,38.25,T.Laurent,"Huile ISO VG 68, Filtre hydraulique HF35"
INT-00548,2024-10-22,CMP-002,Panne Hydraulique,40.00,Marie Simon,Disjoncteur C16
INT-00549,2024-12-24,MOT-005,Panne Pneumatique,44.50,M. Dupont,"Vérin pneumatique ISO 6432, Contacteur LC1D09"
INT-00550,2024-11-17,CNC-004,Vibrations Anormales,19.25,Celine Lefebvre,"Variateur ATV320, Fusible 10A"
INT-00551,2024-07-13,MOT-005,surchauffe,31.25,RODRIGUEZ,
INT-00552,2024-01-10,CNC-001,Panne Électrique,23.75,Sophie Bernard,-
INT-00553,2024-07-14,PMP-007,Fuite,42.0.75,Nicolas Michel,Huile ISO VG 68; Fusible 10A
INT-00554,2024-07-15,CMP-008,Défaut Lubrification,23.75,Nicolas Michel,Relais temporisé
INT-00555,2024-06-03,CNC-007,Panne Hydraulique,20.25,Isabelle Garcia,Courroie HTD 800-8M
INT-00556,2024-08-22,CMP-009,Surchauffe,2.00,Marie Simon,Roulement SKF 6205
INT-00557,2024-10-02,CNC-010,Vibration Anormale,29.25,Marie Simon,Graisse lithium NLGI 2
INT-00558,2024-09-13,CNC-004,Défaut Lubrification,19.75,Thomas Laurent,"Disjoncteur C16, Courroie HTD 800-8M, Câble 3G2.5"
INT-00559,2024-03-06,CNC-009,Panne Électrique,17.50,Nicolas Michel,"Filtre hydraulique HF35, Relais temporisé"
INT-00560,2024-05-01,PMP-002,Vibrations Anormales,26.00,Alexandre Petit,Contacteur LC1D09
INT-00561,2024-04-05,PMP-009,Panne Hydraulique,42.50,Marie Simon,Variateur ATV320
INT-00562,2024-01-20,PMP-010,Panne Pneumatique,35.75,Céline Lefebvre,Vérin pneumatique ISO 6432
INT-00563,2024-10-28,CNC-002,Défaut Lubrification,0.50,Marie Simon,"Capteur inductif M12, Roulement SKF 6205"
INT-00564,2024-03-25,CVY-010,Défaut Capteur,39.00,Thomas Laurent,Joint torique NBR 40x3
INT-00565,2024-09-17,CMP-005,Surchauffe,39.75,Alexandre Petit,"Electrovanne 5/2, Filtre hydraulique HF35"
INT-00566,2024-11-20,MOT-003,Défaut capteur,5.8,Nicolas Michel,Fusible 10A
INT-00567,2024-02-25,CMP-006,Panne Électrique,1.75,Martin Dupont,Joint torique NBR 40x3
INT-00568,2024-07-04,CNC-007,Défaut Capteur,24.25,Sophie Bernard,Graisse lithium NLGI 2
INT-00569,2024-11-20,PMP-009,Fuite,12.75,Céline Lefebvre,Fusible 10A
INT-00570,2024-10-27,PMP-006,Panne Mécanique,36.50,Julie Moreau,"Courroie HTD 800-8M, Joint torique NBR 40x3"
INT-00571,2024-02-26,CNC-004,Fuite,34.00,Marie Simon,Filtre hydraulique HF35
INT-00572,2024-10-23,CMP-008,Vibrations Anormales,34.50,Céline Lefebvre,"Joint torique NBR 40x3, Vérin pneumatique ISO 6432, Graisse lithium NLGI 2"
INT-00573,2024-04-24,CNC-010,Vibrations Anormales,43.75,Julie Moreau,"Huile ISO VG 68, Graisse lithium NLGI 2"
INT-00574,2024-08-15,CNC-004,Panne Électrique,8.75,Thomas Laurent,Courroie HTD 800-8M
INT-00575,2024-07-02,MOT-007,Défaut Capteur,30.75,Pierre Rodriguez,
INT-00576,2024-05-18,CNC-005,Surchauffe,17h30,Isabelle Garcia,
INT-00577,14.01.2024,PMP-004,Panne Hydraulique,13.75,T.Laurent,"Vérin pneumatique ISO 6432, Joint torique NBR 40x3"
INT-00578,2024-10-23,MOT-002,Défaut Lubrification,9.50,Julie Moreau,"Electrovanne 5/2, Câble 3G2.5, Relais temporisé"
INT-00579,2024-12-03,MOT-006,Défaut Capteur,32.0.75,Marie Simon,"Graisse lithium NLGI 2, Relais temporisé"
INT-00580,2024-12-13,PMP-001,Fuite,19.25,Martin Dupont,Vérin pneumatique ISO 6432
INT-00581,2024-03-14,CVY-005,Fuite,2.75,Nicolas Michel,
INT-00582,2024-09-20,MOT-006,Fuite,7.25,Thomas Laurent,Relais temporisé
INT-00583,2024-12-17,MOT-010,Défaut Capteur,36.00,M. Dupont,"Huile ISO VG 68, Vérin pneumatique ISO 6432"
INT-00584,2024-02-17,PMP-005,Fuites,14:00,Julie Moreau,Câble 3G2.5
INT-00585,2024-07-22,CNC-002,panne pneumatique,13.25,Sophie Bernard,"Electrovanne 5/2, Joint torique NBR 40x3"
INT-00586,2024-03-11,PMP-005,Fuites,2.75,Sophie Bernard,Fusible 10A
INT-00587,2024-12-13,CVY-004,Panne Pneumatique,34.50,Julie Moreau,Capteur inductif M12
INT-00588,2024-04-04,PMP-010,Vibrations Anormales,24.50,Pierre Rodriguez,Fusible 10A
INT-00589,2024-12-07,MOT-003,Panne Pneumatique,20.75,Martin Dupont,Electrovanne 5/2
INT-00590,2024-09-01,MOT-004,Défaut Capteur,17.75,Céline Lefebvre,Filtre hydraulique HF35
INT-00591,2024-11-30,PMP-001,Panne Électrique,48.0.50,Nicolas Michel,Vérin pneumatique ISO 6432
INT-00592,2024-03-10,MOT-008,,3.25,Alexandre Petit,"Electrovanne 5/2, Fusible 10A"
INT-00593,2024-01-31,MOT-009,Surchauffe,38.75,Alexandre Petit,"Roulement SKF 6205, Courroie HTD 800-8M"
INT-00594,2024-11-21,CVY-004,Panne Électrique,19.25,Sophie Bernard,"Fusible 10A, Disjoncteur C16, Graisse lithium NLGI 2"
INT-00595,2024-09-28,CMP-001,Défaut Lubrification,20.00,Julie Moreau,"Vérin pneumatique ISO 6432, Graisse lithium NLGI 2, Filtre hydraulique HF35"
INT-00596,2024-10-15,MOT-001,Fuites,48.75,Martin Dupont,"Joint torique NBR 40x3, Roulement SKF 6205"
INT-00597,2024-10-05,CVY-001,Panne Électrique,37.75,Julie Moreau,"Contacteur LC1D09, Câble 3G2.5"
INT-00598,2024-10-17,PMP-010,Panne Pneumatique,38.00,Marie Simon,Contacteur LC1D09
INT-00599,2024-01-11,CVY-006,Panne Hydraulique,19 heures 0 min,Céline Lefebvre,Contacteur LC1D09
INT-00600,2024-05-20,CMP-006,Panne Mécanique,1.25,Sophie Bernard,
INT-00601,2024-01-03,CNC-002,Panne Pneumatique,18.25,Thomas Laurent,Joint torique NBR 40x3
INT-00602,2024-12-20,CVY-003,Usure Normale,31.0,Céline Lefebvre,
INT-00603,2024-02-22,PMP-006,Défaut Lubrification,29.50,Céline Lefebvre,Courroie HTD 800-8M
INT-00604,2024-07-02,CMP-001,Panne Mécanique,48.25,N.Michel,"Variateur ATV320, Câble 3G2.5, Contacteur LC1D09"
INT-00605,2024-02-02,PMP-007,Panne Mécanique,5.00,Nicolas Michel,"Contacteur LC1D09, Disjoncteur C16"
INT-00606,2024-11-24,CVY-008,Vibrations Anormales,23.75,I. Garcia,"Roulement SKF 6205, Relais temporisé, Capteur inductif M12"
INT-00607,2024-05-28,CNC-008,Usure Normale,1.25,I. Garcia,Filtre hydraulique HF35
INT-00608,2024-03-09,CMP-006,Vibrations Anormales,41.00,Sophie Bernard,"Capteur inductif M12, Contacteur LC1D09"
INT-00609,15-07-2024,MOT-010,Vibration Anormale,37.75,Martin Dupont,Courroie HTD 800-8M
INT-00610,2024-08-11,CMP-006,Surchauffe,16 heures 45 min,RODRIGUEZ,Fusible 10A
INT-00611,2024-10-22,CMP-001,Usure Normale,33.0,N.Michel,"Joint torique NBR 40x3, Graisse lithium NLGI 2, Huile ISO VG 68"
INT-00612,2024-07-19,CNC-008,Panne Hydraulique,38.50,Alexandre Petit,"Roulement SKF 6205, Contacteur LC1D09"
INT-00613,2024-01-04,CVY-008,Usure normale,42.50,Sophie Bernard,Filtre hydraulique HF35
INT-00614,2024-05-12,CMP-001,Défaut Lubrification,36.75,Julie Moreau,Filtre hydraulique HF35
INT-00615,2024-11-27,PMP-008,Vibrations Anormales,31.00,Thomas Laurent,Disjoncteur C16
INT-00616,2024-01-23,CNC-006,Panne Pneumatique,26.0.75,Julie Moreau,Fusible 10A
INT-00617,2024-11-11,CMP-004,Panne Hydraulique,23.00,Thomas Laurent,"Graisse lithium NLGI 2, Vérin pneumatique ISO 6432"
INT-00618,2024-11-13,CVY-004,Panne Hydraulique,38.50,N.Michel,"Courroie HTD 800-8M, Fusible 10A"
INT-00619,2024-03-02,CMP-001,Fuite,22.50,Sophie Bernard,Contacteur LC1D09
INT-00620,2024-10-24,CNC-003,Fuite,11.25,Alexandre Petit,"Huile ISO VG 68, Variateur ATV320"
INT-00621,2024-07-18,MOT-004,Surchauffe,18.75,Nicolas Michel,Fusible 10A
INT-00622,2024-05-19,CMP-006,Panne Pneumatique,46.00,Marie Simon,"Variateur ATV320, Courroie HTD 800-8M, Electrovanne 5/2"
INT-00623,2024-11-10,CMP-004,Panne Électrique,20.50,Marie SIMON,"Disjoncteur C16, Joint torique NBR 40x3"
INT-00624,2024-06-09,PMP-004,Panne Electrique,7:00,Pierre Rodriguez,Aucune
INT-00625,2024-11-22,CNC-003,Panne Pneumatique,31.75,Nicolas Michel,N/A
INT-00626,2024-01-09,CMP-002,Usure Normale,40.00,Alexandre Petit,Joint torique NBR 40x3
INT-00627,2024-11-18,CNC-004,Usure Normale,35.75,Sophie Bernard,Graisse lithium NLGI 2
INT-00628,2024-11-25,CVY-006,,46.75,Céline Lefebvre,
INT-00629,2024-03-24,CNC-010,Panne Mécanique,7.25,Céline Lefebvre,Joint torique NBR 40x3
INT-00630,2024-05-04,PMP-006,Panne Mécanique,13:00,Marie SIMON,"Capteur inductif M12, Joint torique NBR 40x3, Variateur ATV320"
INT-00631,2024-02-28,CNC-007,Panne Hydraulique,30.75,Sophie Bernard,Aucune
INT-00632,2024-10-27,CNC-006,Panne Hydraulique,16.50,I. Garcia,Capteur inductif M12
INT-00633,2024-02-17,PMP-002,Usure Normale,28.50,Thomas Laurent,Courroie HTD 800-8M
INT-00634,2024-08-26,CVY-010,Usure Normale,11.25,Alexandre Petit,Filtre hydraulique HF35
INT-00635,2024-12-07,CNC-006,Défaut Capteur,31.50,Pierre Rodriguez,Electrovanne 5/2
INT-00636,2024-04-02,CVY-001,Panne Électrique,24.75,Julie Moreau,"Contacteur LC1D09, Vérin pneumatique ISO 6432, Relais temporisé"
INT-00637,2024-07-27,CNC-005,Panne Hydraulique,47.50,Pierre Rodriguez,Disjoncteur C16; Relais temporisé
INT-00638,2024-04-16,CNC-007,Fuite,24.25,Isabelle Garcia,Aucune
INT-00639,2024-05-13,CNC-003,Défaut Capteur,11.00,Pierre Rodriguez,Variateur ATV320
INT-00640,2024-11-10,PMP-001,Panne Mécanique,45.75,Sophie Bernard,Electrovanne 5/2
INT-00641,2024-12-02,CNC-010,Panne Pneumatique,9.25,Isabelle Garcia,"Electrovanne 5/2, Roulement SKF 6205"
INT-00642,2024-02-26,CNC-008,Panne Électrique,17.50,Nicolas Michel,Fusible 10A
INT-00643,2024-08-06,CVY-001,Panne Hydraulique,46.75,Alexandre Petit,"Joint torique NBR 40x3, Câble 3G2.5"
INT-00644,2024-10-04,CNC-002,Surchauffe,16.75,Sophie Bernard,Courroie HTD 800-8M
INT-00645,2024-08-29,MOT-006,Vibrations Anormales,15.25,Nicolas Michel,"Relais temporisé, Variateur ATV320"
INT-00646,2024-06-04,CNC-007,Panne Mécanique,3.75,Nicolas Michel,"Graisse lithium NLGI 2, Câble 3G2.5"
INT-00647,2024-03-24,PMP-002,Panne Pneumatique,38.2,Nicolas Michel,Disjoncteur C16
INT-00648,2024-03-24,CMP-008,Vibrations Anormales,26.75,T.Laurent,Electrovanne 5/2
INT-00649,05/10/2024,MOT-005,Défaut Lubrification,35.50,Julie Moreau,Joint torique NBR 40x3
INT-00650,2024-01-15,CMP-003,Défaut capteur,38.75,Nicolas Michel,N/A
INT-00651,2024-10-07,CVY-002,Fuite,32.50,Sophie Bernard,Variateur ATV320
INT-00652,2024-04-28,CMP-005,Panne Mécanique,20 heures 30 min,Nicolas Michel,Relais temporisé
INT-00653,2024-12-06,CNC-007,,12.00,Julie Moreau,Disjoncteur C16
INT-00654,2024-03-22,CVY-007,Fuite,45.00,Isabelle Garcia,Capteur inductif M12
INT-00655,2024-05-02,CNC-002,Panne Hydraulique,11.50,A. PETIT,Contacteur LC1D09
INT-00656,2024-02-07,CNC-009,Défaut Capteur,2.25,Julie Moreau,"Fusible 10A, Contacteur LC1D09"
INT-00657,2024-01-18,CNC-006,Panne Pneumatique,15.00,Julie Moreau,Electrovanne 5/2
INT-00658,2024-04-08,CVY-005,Défaut Capteur,13.50,Isabelle Garcia,Courroie HTD 800-8M
INT-00659,20-02-2024,MOT-001,Fuite,35:15,Nicolas Michel,"Variateur ATV320, Fusible 10A, Electrovanne 5/2"
INT-00660,2024-01-07,MOT-009,Panne Pneumatique,2.75,Marie SIMON,Electrovanne 5/2
INT-00661,2024-01-31,CVY-003,Panne Mécanique,23.75,Thomas Laurent,Variateur ATV320
INT-00662,2024-11-22,CVY-006,Défaut capteur,7.25,Celine Lefebvre,Huile ISO VG 68
INT-00663,2024-12-10,PMP-010,Fuite,3.75,Alexandre Petit,Vérin pneumatique ISO 6432
INT-00664,2024-03-21,CVY-002,Défaut Lubrification,43.50,Sophie Bernard,"Electrovanne 5/2, Vérin pneumatique ISO 6432, Joint torique NBR 40x3"
INT-00665,2024-12-15,CVY-004,Défaut Lubrification,4.50,I. Garcia,"Electrovanne 5/2, Filtre hydraulique HF35"
INT-00666,02.10.2024,CVY-007,Panne Mécanique,10.25,Isabelle Garcia,"Variateur ATV320, Vérin pneumatique ISO 6432"
INT-00667,2024-05-16,PMP-001,Panne Mécanique,28.50,A. PETIT,"Disjoncteur C16, Relais temporisé"
INT-00668,2024-02-05,CMP-003,Défaut Capteur,23.50,Thomas Laurent,Electrovanne 5/2
INT-00669,2024-12-10,CVY-004,Panne Mécanique,38.50,Martin Dupont,
INT-00670,2024-01-01,MOT-004,panne pneumatique,14.50,Alexandre Petit,Disjoncteur C16
INT-00671,2024-07-09,CNC-007,Défaut Capteur,43.75,Alexandre Petit,Câble 3G2.5
INT-00672,2024-05-30,CNC-007,Panne Pneumatique,6.50,Isabelle Garcia,Graisse lithium NLGI 2
INT-00673,2024-05-28,CVY-007,Vibration Anormale,6.00,Céline Lefebvre,Electrovanne 5/2
INT-00674,2024-09-03,MOT-008,Panne Électrique,38.25,Pierre Rodriguez,"Variateur ATV320, Relais temporisé"
INT-00675,2024-03-10,CVY-010,Usure Normale,38.25,Julie Moreau,Joint torique NBR 40x3
INT-00676,2024-02-20,CNC-001,Fuite,34.25,Thomas Laurent,Variateur ATV320
INT-00677,2024-10-11,MOT-003,Défaut Capteur,7.25,Nicolas Michel,"Relais temporisé, Capteur inductif M12"
INT-00678,21-11-2024,CVY-010,Panne Électrique,3.50,Marie Simon,Variateur ATV320
INT-00679,2024-08-18,PMP-009,Panne Hydraulique,14.50,Sophie Bernard,
INT-00680,2024-03-21,CMP-009,Surchauffe,42.75,Sophie Bernard,
INT-00681,2024-10-09,PMP-002,Défaut Capteur,48.75,Pierre Rodriguez,Graisse lithium NLGI 2
INT-00682,2024-10-02,PMP-010,Panne Hydraulique,41.75,Céline Lefebvre,"Câble 3G2.5, Huile ISO VG 68, Electrovanne 5/2"
INT-00683,2024-05-22,CVY-010,Panne Électrique,30.00,Marie Simon,Roulement SKF 6205
INT-00684,2024-09-22,CMP-009,surchauffe,2.00,Sophie Bernard,Aucune
INT-00685,2024-04-25,CVY-010,Panne Hydraulique,11.50,Marie SIMON,Graisse lithium NLGI 2
INT-00686,2024-09-25,MOT-001,Défaut Lubrification,29.25,Pierre Rodriguez,Fusible 10A
INT-00687,2024-08-18,CVY-007,Panne Mécanique,21.75,Marie Simon,Contacteur LC1D09
INT-00688,2024-11-05,CMP-004,Fuite,1.50,S.Bernard,"Graisse lithium NLGI 2, Fusible 10A, Filtre hydraulique HF35"
INT-00689,2024-09-25,CMP-006,Fuite,26.00,Julie Moreau,Roulement SKF 6205
INT-00690,2024-09-26,CNC-007,Panne Pneumatique,44.25,Martin Dupont,Courroie HTD 800-8M
INT-00691,2024-12-10,CNC-009,Fuite,39.50,Thomas Laurent,"Filtre hydraulique HF35, Câble 3G2.5"
INT-00692,2024-04-08,PMP-007,Panne Mécanique,31.00,Nicolas Michel,"Joint torique NBR 40x3, Contacteur LC1D09"
INT-00693,2024-03-05,PMP-001,Défaut Lubrification,3.75,julie moreau,Variateur ATV320
INT-00694,2024-05-17,PMP-006,Vibrations Anormales,22.75,Marie Simon,
INT-00695,2024-12-18,PMP-008,Usure Normale,29.00,Sophie Bernard,"Variateur ATV320, Filtre hydraulique HF35"
INT-00696,2024-05-26,CVY-001,Usure Normale,4.00,Celine Lefebvre,Fusible 10A
INT-00697,2024-07-03,CMP-007,Vibrations Anormales,19.0.25,Sophie Bernard,"Courroie HTD 800-8M, Contacteur LC1D09"
INT-00698,2024-10-24,MOT-002,Panne Mécanique,27.25,Pierre Rodriguez,"Fusible 10A, Huile ISO VG 68"
INT-00699,2024-08-10,MOT-009,Panne Mécanique,9.25,Martin Dupont,Filtre hydraulique HF35
INT-00700,2024-08-28,MOT-009,Panne Hydraulique,11.50,M. Dupont,"Variateur ATV320, Vérin pneumatique ISO 6432, Huile ISO VG 68"
INT-00701,2024-10-24,CVY-003,Panne Électrique,19.50,Sophie Bernard,"Electrovanne 5/2, Graisse lithium NLGI 2"
INT-00702,2024-05-08,PMP-007,Surchauffe,42.25,Pierre Rodriguez,Graisse lithium NLGI 2
INT-00703,2024-11-17,CMP-003,Fuites,27 heures 30 min,A. PETIT,"Electrovanne 5/2, Joint torique NBR 40x3"
INT-00704,2024-02-11,MOT-008,Défaut Capteur,19.00,M. Dupont,"Vérin pneumatique ISO 6432, Variateur ATV320"
INT-00705,2024-08-13,CNC-007,Panne Électrique,24.25,Martin Dupont,Courroie HTD 800-8M
INT-00706,2024-06-05,MOT-007,Panne Pneumatique,37.50,Alexandre Petit,Joint torique NBR 40x3
INT-00707,2024-09-21,MOT-006,Panne Mecanique,31.25,A. PETIT,Graisse lithium NLGI 2
INT-00708,2024-11-21,MOT-009,Vibration Anormale,25 heures 0 min,Julie Moreau,Graisse lithium NLGI 2
INT-00709,2024-11-01,CMP-010,Défaut Capteur,42.25,Isabelle Garcia,"Fusible 10A, Capteur inductif M12"
INT-00710,2024-03-28,CVY-001,Usure Normale,30.50,Céline Lefebvre,Relais temporisé
INT-00711,2024-03-13,PMP-008,Défaut Capteur,10.00,A. PETIT,
INT-00712,2024-05-11,CMP-007,Vibrations Anormales,34.25,Alexandre Petit,Joint torique NBR 40x3
INT-00713,2024-04-28,CVY-009,Panne Mécanique,9.50,Martin Dupont,Graisse lithium NLGI 2
INT-00714,2024-05-04,MOT-006,Surchauffe,22.50,Julie Moreau,"Capteur inductif M12, Roulement SKF 6205"
INT-00715,2024-03-21,PMP-003,Surchauffe,33.25,Céline Lefebvre,Disjoncteur C16
INT-00716,2024-06-16,CMP-001,Défaut Capteur,7.75,Pierre Rodriguez,"Filtre hydraulique HF35, Variateur ATV320"
INT-00717,2024-03-06,CMP-004,Panne Mécanique,3.25,Isabelle Garcia,"Roulement SKF 6205, Variateur ATV320"
INT-00718,2024-06-16,CNC-004,Panne Hydraulique,42.25,Pierre Rodriguez,"Variateur ATV320, Joint torique NBR 40x3"
INT-00719,2024-02-11,CMP-009,Panne Hydraulique,19.75,Marie SIMON,Câble 3G2.5
INT-00720,2024-10-22,MOT-008,surchauffe,3.25,Céline Lefebvre,"Courroie HTD 800-8M, Joint torique NBR 40x3"
INT-00721,2024-06-19,CVY-007,Panne Pneumatique,13.50,S.Bernard,
INT-00722,2024-10-21,MOT-005,Panne Electrique,2.75,Martin Dupont,Relais temporisé
INT-00723,2024-08-22,MOT-007,Panne Hydraulique,24.00,Pierre Rodriguez,Câble 3G2.5
INT-00724,2024-08-02,CNC-010,Défaut Capteur,22.50,Nicolas Michel,"Filtre hydraulique HF35, Joint torique NBR 40x3"
INT-00725,02.12.2024,CNC-006,Fuite,11.75,Thomas Laurent,Fusible 10A
INT-00726,2024-02-25,PMP-003,surchauffe,4.25,Sophie Bernard,Contacteur LC1D09
INT-00727,2024-10-27,PMP-007,Défaut Capteur,30h00,Alexandre Petit,"Graisse lithium NLGI 2, Contacteur LC1D09"
INT-00728,11/08/2024,CMP-002,Usure Normale,30.50,Nicolas Michel,Fusible 10A
INT-00729,2024-11-27,CVY-005,Panne Pneumatique,9.00,Marie Simon,"Variateur ATV320, Filtre hydraulique HF35"
INT-00730,07-05-2024,CNC-002,Panne Hydraulique,22.75,I. Garcia,"Filtre hydraulique HF35, Courroie HTD 800-8M, Capteur inductif M12"
INT-00731,2024-11-25,CNC-005,Vibrations Anormales,12.50,Nicolas Michel,Fusible 10A
INT-00732,2024-12-18,CMP-003,Panne Hydraulique,26.25,Julie Moreau,Relais temporisé
INT-00733,2024-04-17,PMP-004,,36.75,Martin Dupont,Disjoncteur C16
INT-00734,2024-11-13,CVY-003,Défaut Lubrification,24.50,Martin Dupont,"Contacteur LC1D09, Roulement SKF 6205"
INT-00735,2024-06-03,MOT-003,Panne Hydraulique,38.8,Isabelle Garcia,Câble 3G2.5
INT-00736,2024-09-03,CMP-001,Panne Hydraulique,36.00,Julie Moreau,"Filtre hydraulique HF35, Joint torique NBR 40x3"
INT-00737,2024-11-15,CNC-001,Défaut Capteur,28.50,M. Dupont,
INT-00738,2024-04-20,CVY-006,Panne Électrique,17.25,Sophie Bernard,Courroie HTD 800-8M
INT-00739,2024-08-11,CMP-002,Usure Normale,26.50,Sophie Bernard,Câble 3G2.5
INT-00740,2024-01-31,CNC-003,Def. Lubrification,10.50,Martin Dupont,Electrovanne 5/2
INT-00741,2024-06-03,PMP-008,Surchauffe,11:30,Pierre Rodriguez,Disjoncteur C16
INT-00742,2024-12-18,CNC-001,Vibration Anormale,39.75,Celine Lefebvre,Capteur inductif M12
INT-00743,2024-08-16,PMP-004,panne pneumatique,36.0.00,Céline Lefebvre,Courroie HTD 800-8M
INT-00744,2024-03-07,CVY-003,Vibrations Anormales,28.00,Julie Moreau,Fusible 10A
